subject_id,svm_acc,rf_acc,nn_acc
1,0.48728813559322,0.855932203389831,0.754237288135593
2,0.51271186440678,0.927966101694915,0.665254237288136
3,0.521186440677966,0.949152542372881,0.76271186440678
4,0.423728813559322,0.851694915254237,0.75
5,0.508474576271186,0.686440677966102,0.508474576271186
6,0.525423728813559,0.788135593220339,0.652542372881356
7,0.394067796610169,0.855932203389831,0.593220338983051
8,0.406779661016949,0.796610169491525,0.644067796610169
9,0.398305084745763,0.593220338983051,0.533898305084746
10,0.555084745762712,0.851694915254237,0.682203389830508
11,0.601694915254237,0.686440677966102,0.656779661016949
12,0.317796610169492,0.572033898305085,0.550847457627119
13,0.588983050847458,0.851694915254237,0.754237288135593
14,0.48728813559322,0.809322033898305,0.495762711864407
15,0.377118644067797,0.906779661016949,0.669491525423729
16,0.436440677966102,0.872881355932203,0.673728813559322
17,0.605932203389831,0.966101694915254,0.800847457627119
18,0.508474576271186,0.936440677966102,0.771186440677966
19,0.508474576271186,0.805084745762712,0.521186440677966
20,0.461864406779661,0.724576271186441,0.614406779661017
21,0.389830508474576,0.860169491525424,0.516949152542373
22,0.364406779661017,0.788135593220339,0.516949152542373
23,0.351694915254237,0.665254237288136,0.474576271186441
24,0.504237288135593,0.940677966101695,0.661016949152542
25,0.686440677966102,0.728813559322034,0.584745762711864
26,0.313559322033898,0.529661016949153,0.48728813559322
27,0.61864406779661,0.843220338983051,0.73728813559322
28,0.48728813559322,0.860169491525424,0.538135593220339
